route_short_name,cv,excess_wait_min,excess_pax_min,period
1007,0.9754480538460636,43.34176267286366,99209.53207331932,off-peak
1007,1.126420844681307,41.2345679454413,91561.93565098172,peak
1320,0.7629220277228997,8.443039680168784,152753.1559746009,off-peak
1320,0.9738100716677437,36.418757414515774,246155.8535096315,peak
1346,0.7932727393811976,9.648501576357237,70626.5120870819,off-peak
1346,0.7861336945048045,5.35662932361381,48643.881379051185,peak
1386,0.8981040585690578,29.167449193444842,174210.39531234087,off-peak
1386,0.8584439872295475,23.5216255574554,74334.44823407785,peak
1413,0.658167170745153,9.169802331963242,100868.05735559677,off-peak
1413,0.75354494082228,22.050769832564313,116558.80483220964,peak
1637,0.6811623059117291,7.514196683439028,114330.23643600784,off-peak
1637,0.7295638473836318,6.928505599060864,60870.38294508238,peak
1649,0.7818060368708876,11.213390557673932,121072.5019367579,off-peak
1649,0.8235902028529234,16.49288405532376,78809.94497452541,peak
12503,0.7554615064338701,26.20010025012499,59794.12782167682,off-peak
12503,0.8337466800916625,23.24140791925873,83494.13680592747,peak
